code,date,streak,days_to_hit,max_gap_pct,close0,density_pct,window_days
EMDE,2026-06-25,2,1,14.2857,70.0,66.7,3
PTPW,2026-06-25,1,1,12.1429,1400.0,100.0,2
EMDE,2026-06-26,3,2,14.4928,69.0,50.0,4
ZONE,2026-06-26,1,1,17.094,585.0,50.0,4
PPRE,2026-06-29,2,6,13.1313,99.0,30.0,10
EPAC,2026-06-30,1,4,17.3913,69.0,57.1,7
OILS,2026-06-30,1,6,30.1075,186.0,33.3,12
RICY,2026-06-30,1,2,20.0,75.0,100.0,2
AYLS,2026-07-01,1,1,11.6129,155.0,100.0,2
EPAC,2026-07-01,2,3,17.3913,69.0,50.0,8
RICY,2026-07-01,2,1,20.0,75.0,66.7,3
EPAC,2026-07-02,3,2,14.0845,71.0,44.4,9
KIOS,2026-07-02,1,4,55.9524,84.0,37.5,8
RICY,2026-07-02,3,2,16.8831,77.0,50.0,4
KIOS,2026-07-03,2,3,52.3256,86.0,33.3,9
PEGE,2026-07-03,3,1,11.3636,125.83,41.2,17
RBMS,2026-07-03,1,5,31.0345,58.0,33.3,6
FUTR,2026-07-07,1,5,15.5963,218.0,37.5,8
RGAS,2026-07-07,1,6,14.0,200.0,100.0,2
FUTR,2026-07-08,2,4,19.2661,218.0,33.3,9
NTBK,2026-07-08,1,1,44.8718,78.0,100.0,2
RGAS,2026-07-08,2,5,12.8713,202.0,66.7,3
RMKO,2026-07-08,3,2,13.9394,330.0,50.0,4
APLN,2026-07-09,1,4,16.9355,124.0,100.0,2
BIPP,2026-07-09,1,1,30.0,60.0,100.0,2
KOKA,2026-07-09,1,1,91.4286,140.0,50.0,4
LAND,2026-07-09,1,1,45.1613,62.0,100.0,2
OILS,2026-07-09,1,2,15.534,206.0,37.5,8
PADI,2026-07-09,3,10,10.5263,76.0,33.3,6
RGAS,2026-07-09,3,4,11.7647,204.0,50.0,4
RODA,2026-07-09,1,2,24.1379,58.0,100.0,2
APLN,2026-07-10,2,3,16.0,125.0,66.7,3
BIPP,2026-07-10,2,1,23.8095,63.0,66.7,3
LAND,2026-07-10,2,1,42.8571,63.0,66.7,3
MEDS,2026-07-10,1,4,12.3457,81.0,100.0,2
MMIX,2026-07-10,1,5,13.3333,750.0,100.0,2
OILS,2026-07-10,2,1,37.2549,204.0,33.3,9
RODA,2026-07-10,2,1,22.0339,59.0,66.7,3
SKBM,2026-07-10,1,2,16.1017,590.0,50.0,4
APLN,2026-07-13,3,2,16.0,125.0,50.0,4
MEDS,2026-07-13,2,3,13.75,80.0,66.7,3
MMIX,2026-07-13,2,2,22.3022,695.0,66.7,3
OILS,2026-07-13,3,8,30.8411,214.0,30.0,10
SKBM,2026-07-13,2,1,24.5455,550.0,40.0,5
MEDS,2026-07-14,3,2,12.3457,81.0,50.0,4
MMIX,2026-07-14,3,1,23.1884,690.0,50.0,4
BIPP,2026-07-15,1,6,10.2941,68.0,50.0,6
INOV,2026-07-15,1,5,14.5161,124.0,42.9,7
BIPP,2026-07-16,2,5,10.2941,68.0,42.9,7
INOV,2026-07-16,2,4,13.4921,126.0,37.5,8
KIOS,2026-07-16,3,2,10.8696,92.0,36.4,11
LAND,2026-07-16,1,5,16.8831,77.0,42.9,7
MMIX,2026-07-16,1,1,11.8421,760.0,40.0,5
BIPP,2026-07-17,3,4,10.2941,68.0,37.5,8
GDST,2026-07-17,1,6,29.3478,92.0,100.0,2
INOV,2026-07-17,3,3,20.155,129.0,33.3,9
LAND,2026-07-17,2,4,15.3846,78.0,37.5,8
GDST,2026-07-20,2,5,29.3478,92.0,66.7,3
KBLV,2026-07-20,1,1,13.1783,129.0,100.0,2
LAND,2026-07-20,3,3,16.8831,77.0,33.3,9
MLPL,2026-07-20,1,1,23.8636,88.0,100.0,2
MLPT,2026-07-20,1,1,95.5684,1038.0,100.0,2
FWCT,2026-07-21,1,8,12.9032,93.0,40.0,10
GDST,2026-07-21,3,4,30.7692,91.0,50.0,4
HOPE,2026-07-21,1,8,22.5131,191.0,100.0,2
FWCT,2026-07-22,2,7,12.9032,93.0,36.4,11
HOPE,2026-07-22,2,7,21.875,192.0,66.7,3
PAMG,2026-07-22,1,3,20.6897,58.0,100.0,2
DSSA,2026-07-23,1,10,11.4286,875.0,100.0,2
FORU,2026-07-23,1,1,15.1125,3110.0,100.0,2
FWCT,2026-07-23,3,6,14.1304,92.0,33.3,12
HOPE,2026-07-23,3,2,34.4828,174.0,50.0,4
MINE,2026-07-23,1,7,17.2727,220.0,30.1,83
NANO,2026-07-23,1,3,16.6667,30.0,33.3,9
NETV,2026-07-23,2,7,13.4615,52.0,33.3,12
PAMG,2026-07-23,2,2,22.807,57.0,66.7,3
VKTR,2026-07-23,1,10,13.5802,810.0,57.1,7
BAPI,2026-07-24,1,2,31.25,16.0,31.7,41
BBYB,2026-07-24,2,10,12.2951,244.0,40.0,5
CTTH,2026-07-24,3,1,18.0328,122.0,33.3,6
DSSA,2026-07-24,2,9,21.8391,870.0,66.7,3
JGLE,2026-07-24,1,6,73.0159,63.0,66.7,3
KBLV,2026-07-24,2,5,38.2114,123.0,33.3,6
LPPS,2026-07-24,1,8,12.8205,78.0,50.0,6
NANO,2026-07-24,2,2,20.6897,29.0,30.0,10
NETV,2026-07-24,3,6,15.6863,51.0,30.8,13
PAMG,2026-07-24,3,1,27.2727,55.0,50.0,4
PSDN,2026-07-24,1,1,31.1475,122.0,33.3,6
SWID,2026-07-24,1,10,10.8911,101.0,100.0,2
VKTR,2026-07-24,2,8,21.4286,770.0,50.0,8
WMUU,2026-07-24,1,10,19.2308,52.0,100.0,2
ZATA,2026-07-24,1,6,15.7143,70.0,100.0,2
AWAN,2026-07-27,1,1,22.8188,149.0,30.0,20
BAPI,2026-07-27,2,2,23.5294,17.0,31.0,42
BBYB,2026-07-27,3,9,12.2951,244.0,33.3,6
BULL,2026-07-27,1,4,15.8654,416.0,44.4,9
DSSA,2026-07-27,3,8,25.731,855.0,50.0,4
INAI,2026-07-27,1,1,32.5301,166.0,37.5,8
JGLE,2026-07-27,2,5,70.3125,64.0,50.0,4
MLPT,2026-07-27,1,4,24.6106,1605.0,50.0,4
SULI,2026-07-27,3,10,31.4607,89.0,50.0,4
SWID,2026-07-27,2,9,12.0,100.0,66.7,3
VKTR,2026-07-27,3,7,16.875,800.0,44.4,9
WMUU,2026-07-27,2,9,21.1538,52.0,66.7,3
ZATA,2026-07-27,2,5,15.7143,70.0,66.7,3
BAPI,2026-07-28,3,2,16.6667,18.0,32.6,43
BULL,2026-07-28,2,2,17.561,410.0,40.0,10
DOOH,2026-07-28,1,2,44.6602,206.0,75.0,4
FUJI,2026-07-28,1,10,19.4175,206.0,36.5,85
GDST,2026-07-28,1,2,54.6392,97.0,44.4,9
INAI,2026-07-28,2,1,13.4831,178.0,44.4,9
JGLE,2026-07-28,3,4,73.0159,63.0,40.0,5
MLPT,2026-07-28,2,2,33.7793,1495.0,40.0,5
PSDN,2026-07-28,1,3,23.1405,121.0,37.5,8
SWID,2026-07-28,3,8,10.8911,101.0,50.0,4
WMUU,2026-07-28,3,8,21.1538,52.0,50.0,4
ZATA,2026-07-28,3,4,20.8955,67.0,50.0,4
BAJA,2026-07-29,1,1,96.8586,191.0,100.0,2
BULL,2026-07-29,3,1,21.1055,398.0,36.4,11
DIVA,2026-07-29,1,4,21.6,125.0,100.0,2
DMMX,2026-07-29,1,2,28.4091,176.0,100.0,2
GDST,2026-07-29,2,1,59.5745,94.0,40.0,10
MCAS,2026-07-29,1,2,34.058,276.0,100.0,2
PAMG,2026-07-29,2,8,14.2857,56.0,42.9,7
PSDN,2026-07-29,2,2,25.2101,119.0,33.3,9
BNBR,2026-07-30,1,5,16.4948,97.0,40.0,15
CTTH,2026-07-30,1,5,13.3858,127.0,30.0,10
DIVA,2026-07-30,2,2,23.5772,123.0,66.7,3
DMMX,2026-07-30,2,1,26.257,179.0,66.7,3
FUJI,2026-07-30,1,8,18.2692,208.0,35.6,87
GDST,2026-07-30,3,2,54.6392,97.0,36.4,11
KOBX,2026-07-30,1,3,20.4969,161.0,100.0,2
MCAS,2026-07-30,2,1,42.3077,260.0,66.7,3
PAMG,2026-07-30,3,7,14.2857,56.0,37.5,8
PSDN,2026-07-30,3,1,25.2101,119.0,30.0,10
TNCA,2026-07-30,1,1,10.9756,164.0,66.7,3
BNBR,2026-07-31,2,4,15.3061,98.0,37.5,16
DIVA,2026-07-31,3,1,24.5902,122.0,50.0,4
DMMX,2026-07-31,3,5,21.5054,186.0,50.0,4
HATM,2026-07-31,1,5,19.8113,530.0,30.8,13
INAI,2026-07-31,1,1,12.4294,177.0,33.3,12
KOBX,2026-07-31,2,2,20.4969,161.0,66.7,3
KOTA,2026-07-31,1,1,42.8571,147.0,44.4,18
MCAS,2026-07-31,3,5,40.1515,264.0,50.0,4
